2024-11-08T10:15:31 99% | 4140 mV | 8 mA | 911 / 927 mAh | 33 mW | 94%
2024-11-08T10:40:00 99% | 4057 mV | 8 mA | 915 / 927 mAh | 32 mW | 94%
2024-11-08T10:40:30 99% | 4055 mV | 9 mA | 915 / 927 mAh | 36 mW | 94%
2024-11-08T10:41:01 99% | 4054 mV | 9 mA | 915 / 927 mAh | 36 mW | 94%
2024-11-08T10:41:32 99% | 4052 mV | 9 mA | 915 / 927 mAh | 36 mW | 94%
2024-11-08T10:42:02 99% | 4054 mV | 9 mA | 915 / 927 mAh | 36 mW | 94%
2024-11-08T10:42:33 99% | 4051 mV | 9 mA | 915 / 927 mAh | 36 mW | 94%
2024-11-08T10:43:03 99% | 4050 mV | 9 mA | 915 / 927 mAh | 36 mW | 94%
2024-11-08T10:43:34 99% | 4049 mV | 9 mA | 915 / 927 mAh | 36 mW | 94%
2024-11-08T10:44:05 99% | 4051 mV | 8 mA | 915 / 927 mAh | 32 mW | 94%
2024-11-08T10:44:35 99% | 4047 mV | 9 mA | 915 / 927 mAh | 36 mW | 94%
2024-11-08T10:45:06 99% | 4046 mV | 9 mA | 916 / 927 mAh | 36 mW | 94%
2024-11-08T10:45:37 99% | 4045 mV | 8 mA | 916 / 927 mAh | 32 mW | 94%
2024-11-08T10:46:07 99% | 4044 mV | 9 mA | 916 / 927 mAh | 36 mW | 94%
2024-11-08T10:46:38 99% | 4043 mV | 9 mA | 916 / 927 mAh | 36 mW | 94%
2024-11-08T10:47:08 99% | 4042 mV | 9 mA | 916 / 927 mAh | 36 mW | 94%
2024-11-08T10:47:39 99% | 4040 mV | 9 mA | 916 / 927 mAh | 36 mW | 94%
2024-11-08T10:48:10 99% | 4040 mV | 9 mA | 916 / 927 mAh | 36 mW | 94%
2024-11-08T10:48:40 99% | 4039 mV | 8 mA | 916 / 927 mAh | 32 mW | 94%
2024-11-08T10:49:11 99% | 4038 mV | 9 mA | 916 / 927 mAh | 36 mW | 94%
2024-11-08T10:49:41 99% | 4037 mV | 9 mA | 916 / 927 mAh | 36 mW | 94%
2024-11-08T10:50:12 99% | 4036 mV | 9 mA | 916 / 927 mAh | 36 mW | 94%
2024-11-08T10:50:43 99% | 4034 mV | 9 mA | 916 / 927 mAh | 36 mW | 94%
2024-11-08T10:51:13 99% | 4033 mV | 9 mA | 916 / 927 mAh | 36 mW | 94%
2024-11-08T10:51:44 99% | 4032 mV | 9 mA | 916 / 927 mAh | 36 mW | 94%
2024-11-08T10:52:15 99% | 4032 mV | 9 mA | 917 / 927 mAh | 36 mW | 94%
2024-11-08T10:52:45 99% | 4031 mV | 9 mA | 917 / 927 mAh | 36 mW | 94%
2024-11-08T10:53:16 99% | 4030 mV | 9 mA | 917 / 927 mAh | 36 mW | 94%
2024-11-08T10:53:46 99% | 4029 mV | 9 mA | 917 / 927 mAh | 36 mW | 94%
2024-11-08T10:54:17 99% | 4028 mV | 9 mA | 917 / 927 mAh | 36 mW | 94%
2024-11-08T10:54:48 99% | 4027 mV | 9 mA | 917 / 927 mAh | 36 mW | 94%
2024-11-08T10:55:18 99% | 4027 mV | 9 mA | 917 / 927 mAh | 36 mW | 94%
2024-11-08T10:55:49 99% | 4025 mV | 9 mA | 917 / 927 mAh | 36 mW | 94%
2024-11-08T10:56:20 99% | 4025 mV | 9 mA | 917 / 927 mAh | 36 mW | 94%
2024-11-08T10:56:50 99% | 4024 mV | 9 mA | 917 / 927 mAh | 36 mW | 94%
2024-11-08T10:57:21 99% | 4023 mV | 9 mA | 917 / 927 mAh | 36 mW | 94%
2024-11-08T10:57:51 99% | 4022 mV | 9 mA | 917 / 927 mAh | 36 mW | 94%
2024-11-08T10:58:22 99% | 4022 mV | 9 mA | 917 / 927 mAh | 36 mW | 94%
2024-11-08T10:58:53 99% | 4020 mV | 9 mA | 917 / 927 mAh | 36 mW | 94%
2024-11-08T10:59:23 100% | 4020 mV | 9 mA | 918 / 927 mAh | 36 mW | 94%
2024-11-08T10:59:54 100% | 4019 mV | 9 mA | 918 / 927 mAh | 36 mW | 94%
2024-11-08T11:00:24 100% | 4018 mV | 9 mA | 918 / 927 mAh | 36 mW | 94%
2024-11-08T11:00:55 100% | 4016 mV | 9 mA | 918 / 927 mAh | 36 mW | 94%
2024-11-08T11:01:26 100% | 4016 mV | 9 mA | 918 / 927 mAh | 36 mW | 94%
2024-11-08T11:01:56 100% | 4016 mV | 9 mA | 918 / 927 mAh | 36 mW | 94%
2024-11-08T11:02:27 100% | 4015 mV | 9 mA | 918 / 927 mAh | 36 mW | 94%
2024-11-08T11:02:58 100% | 4014 mV | 9 mA | 918 / 927 mAh | 36 mW | 94%
2024-11-08T11:03:28 100% | 4013 mV | 9 mA | 918 / 927 mAh | 36 mW | 94%
2024-11-08T11:03:59 100% | 4012 mV | 9 mA | 918 / 927 mAh | 36 mW | 94%
2024-11-08T11:04:29 100% | 4012 mV | 9 mA | 918 / 927 mAh | 36 mW | 94%
2024-11-08T11:05:00 100% | 4012 mV | 8 mA | 918 / 927 mAh | 32 mW | 94%
2024-11-08T11:05:31 100% | 4011 mV | 9 mA | 918 / 927 mAh | 36 mW | 94%
2024-11-08T11:06:01 100% | 4010 mV | 9 mA | 918 / 927 mAh | 36 mW | 94%
2024-11-08T11:06:32 100% | 4010 mV | 9 mA | 919 / 927 mAh | 36 mW | 94%
2024-11-08T11:07:02 100% | 4009 mV | 9 mA | 919 / 927 mAh | 36 mW | 94%
2024-11-08T11:07:33 100% | 4009 mV | 9 mA | 919 / 927 mAh | 36 mW | 94%
2024-11-08T11:08:04 100% | 4007 mV | 9 mA | 919 / 927 mAh | 36 mW | 94%
2024-11-08T11:08:34 100% | 4007 mV | 9 mA | 919 / 927 mAh | 36 mW | 94%
2024-11-08T11:09:05 100% | 4006 mV | 9 mA | 919 / 927 mAh | 36 mW | 94%
2024-11-08T11:09:36 100% | 4006 mV | 9 mA | 919 / 927 mAh | 36 mW | 94%
2024-11-08T11:10:06 100% | 4005 mV | 9 mA | 919 / 927 mAh | 36 mW | 94%
2024-11-08T11:10:37 100% | 4007 mV | 8 mA | 919 / 927 mAh | 32 mW | 94%
2024-11-08T11:11:07 100% | 4003 mV | 9 mA | 919 / 927 mAh | 36 mW | 94%
2024-11-08T11:11:38 100% | 4004 mV | 9 mA | 919 / 927 mAh | 36 mW | 94%
2024-11-08T11:12:09 100% | 4003 mV | 9 mA | 919 / 927 mAh | 36 mW | 94%
2024-11-08T11:12:39 100% | 4003 mV | 9 mA | 919 / 927 mAh | 36 mW | 94%
2024-11-08T11:13:10 100% | 4002 mV | 9 mA | 919 / 927 mAh | 36 mW | 94%
2024-11-08T11:13:41 100% | 4001 mV | 9 mA | 920 / 927 mAh | 36 mW | 94%
2024-11-08T11:14:11 100% | 4001 mV | 8 mA | 920 / 927 mAh | 32 mW | 94%
2024-11-08T11:14:42 100% | 4000 mV | 9 mA | 920 / 927 mAh | 36 mW | 94%
2024-11-08T11:15:12 100% | 3999 mV | 9 mA | 920 / 927 mAh | 36 mW | 94%
2024-11-08T11:15:43 100% | 4000 mV | 8 mA | 920 / 927 mAh | 32 mW | 94%
2024-11-08T11:16:14 100% | 3998 mV | 9 mA | 920 / 927 mAh | 36 mW | 94%
2024-11-08T11:16:44 100% | 3998 mV | 8 mA | 920 / 927 mAh | 32 mW | 94%
2024-11-08T11:17:15 100% | 3997 mV | 9 mA | 920 / 927 mAh | 36 mW | 94%
2024-11-08T11:17:45 100% | 3997 mV | 9 mA | 920 / 927 mAh | 36 mW | 94%
2024-11-08T11:18:16 100% | 3996 mV | 9 mA | 920 / 927 mAh | 36 mW | 94%
2024-11-08T11:18:47 100% | 3995 mV | 9 mA | 920 / 927 mAh | 36 mW | 94%
2024-11-08T11:19:17 100% | 3994 mV | 9 mA | 920 / 927 mAh | 36 mW | 94%
2024-11-08T11:19:48 100% | 3993 mV | 9 mA | 920 / 927 mAh | 36 mW | 94%
2024-11-08T11:20:19 100% | 3993 mV | 9 mA | 920 / 927 mAh | 36 mW | 94%
2024-11-08T11:20:49 100% | 3992 mV | 9 mA | 921 / 927 mAh | 36 mW | 94%
2024-11-08T11:21:20 100% | 3992 mV | 9 mA | 921 / 927 mAh | 36 mW | 94%
2024-11-08T11:21:50 100% | 3990 mV | 9 mA | 921 / 927 mAh | 36 mW | 94%
2024-11-08T11:22:21 100% | 3990 mV | 9 mA | 921 / 927 mAh | 36 mW | 94%
2024-11-08T11:22:52 100% | 3989 mV | 9 mA | 921 / 927 mAh | 36 mW | 94%
2024-11-08T11:23:22 100% | 3991 mV | 8 mA | 921 / 927 mAh | 32 mW | 94%
2024-11-08T11:23:53 100% | 3991 mV | 8 mA | 921 / 927 mAh | 32 mW | 94%
2024-11-08T11:24:24 100% | 3991 mV | 8 mA | 921 / 927 mAh | 32 mW | 94%
2024-11-08T11:24:54 100% | 3991 mV | 8 mA | 921 / 927 mAh | 32 mW | 94%
2024-11-08T11:25:25 100% | 3990 mV | 8 mA | 921 / 927 mAh | 32 mW | 94%
2024-11-08T11:25:55 100% | 3989 mV | 8 mA | 921 / 927 mAh | 32 mW | 94%
2024-11-08T11:26:26 100% | 3988 mV | 8 mA | 921 / 927 mAh | 32 mW | 94%
2024-11-08T11:26:57 100% | 3988 mV | 8 mA | 921 / 927 mAh | 32 mW | 94%
2024-11-08T11:27:27 100% | 3988 mV | 8 mA | 921 / 927 mAh | 32 mW | 94%
2024-11-08T11:27:58 100% | 3987 mV | 8 mA | 922 / 927 mAh | 32 mW | 94%
2024-11-08T11:28:29 100% | 3986 mV | 8 mA | 922 / 927 mAh | 32 mW | 94%
2024-11-08T11:28:59 100% | 3985 mV | 8 mA | 922 / 927 mAh | 32 mW | 94%
2024-11-08T11:29:30 100% | 3985 mV | 8 mA | 922 / 927 mAh | 32 mW | 94%
2024-11-08T11:30:00 100% | 3984 mV | 8 mA | 922 / 927 mAh | 32 mW | 94%
2024-11-08T11:30:31 100% | 3984 mV | 8 mA | 922 / 927 mAh | 32 mW | 94%
2024-11-08T11:31:02 100% | 3981 mV | 8 mA | 922 / 927 mAh | 32 mW | 94%
2024-11-08T11:31:32 100% | 3979 mV | 9 mA | 922 / 927 mAh | 36 mW | 94%
2024-11-08T11:32:03 100% | 3979 mV | 9 mA | 922 / 927 mAh | 36 mW | 94%
2024-11-08T11:32:34 100% | 3978 mV | 9 mA | 922 / 927 mAh | 36 mW | 94%
2024-11-08T11:33:04 100% | 3977 mV | 9 mA | 922 / 927 mAh | 36 mW | 94%
2024-11-08T11:33:35 100% | 3976 mV | 9 mA | 922 / 927 mAh | 36 mW | 94%
2024-11-08T11:34:05 100% | 3974 mV | 9 mA | 922 / 927 mAh | 36 mW | 94%
2024-11-08T11:34:36 100% | 3974 mV | 9 mA | 922 / 927 mAh | 36 mW | 94%
2024-11-08T11:35:07 100% | 3974 mV | 9 mA | 922 / 927 mAh | 36 mW | 94%
2024-11-08T11:35:37 100% | 3973 mV | 9 mA | 923 / 927 mAh | 36 mW | 94%
2024-11-08T11:36:08 100% | 3972 mV | 9 mA | 923 / 927 mAh | 36 mW | 94%
2024-11-08T11:36:39 100% | 3972 mV | 9 mA | 923 / 927 mAh | 36 mW | 94%
2024-11-08T11:37:09 100% | 3970 mV | 8 mA | 923 / 927 mAh | 32 mW | 94%
2024-11-08T11:37:40 100% | 3969 mV | 9 mA | 923 / 927 mAh | 36 mW | 94%
2024-11-08T11:38:10 100% | 3969 mV | 9 mA | 923 / 927 mAh | 36 mW | 94%
2024-11-08T11:38:41 100% | 3968 mV | 9 mA | 923 / 927 mAh | 36 mW | 94%
2024-11-08T11:39:12 100% | 3966 mV | 9 mA | 923 / 927 mAh | 36 mW | 94%
2024-11-08T11:39:42 100% | 3966 mV | 9 mA | 923 / 927 mAh | 36 mW | 94%
2024-11-08T11:40:13 100% | 3966 mV | 9 mA | 923 / 927 mAh | 36 mW | 94%
2024-11-08T11:40:43 100% | 3964 mV | 9 mA | 923 / 927 mAh | 36 mW | 94%
2024-11-08T11:41:14 100% | 3964 mV | 9 mA | 923 / 927 mAh | 36 mW | 94%
2024-11-08T11:41:45 100% | 3964 mV | 9 mA | 923 / 927 mAh | 36 mW | 94%
2024-11-08T11:42:15 100% | 3961 mV | 9 mA | 924 / 927 mAh | 36 mW | 94%
2024-11-08T11:42:46 100% | 3962 mV | 9 mA | 924 / 927 mAh | 36 mW | 94%
2024-11-08T11:43:17 100% | 3959 mV | 9 mA | 924 / 927 mAh | 36 mW | 94%
2024-11-08T11:43:47 100% | 3959 mV | 9 mA | 924 / 927 mAh | 36 mW | 94%
2024-11-08T11:44:18 100% | 3959 mV | 9 mA | 924 / 927 mAh | 36 mW | 94%
2024-11-08T11:44:48 100% | 3958 mV | 9 mA | 924 / 927 mAh | 36 mW | 94%
2024-11-08T11:45:19 100% | 3957 mV | 9 mA | 924 / 927 mAh | 36 mW | 94%
2024-11-08T11:45:50 100% | 3956 mV | 9 mA | 924 / 927 mAh | 36 mW | 94%
2024-11-08T11:46:20 100% | 3955 mV | 9 mA | 924 / 927 mAh | 36 mW | 94%
2024-11-08T11:46:51 100% | 3954 mV | 9 mA | 924 / 927 mAh | 36 mW | 94%
2024-11-08T11:47:22 100% | 3955 mV | 8 mA | 924 / 927 mAh | 32 mW | 94%
2024-11-08T11:47:52 100% | 3953 mV | 9 mA | 924 / 927 mAh | 36 mW | 94%
2024-11-08T11:48:23 100% | 3952 mV | 9 mA | 924 / 927 mAh | 36 mW | 94%
2024-11-08T11:48:53 100% | 3952 mV | 9 mA | 924 / 927 mAh | 36 mW | 94%
2024-11-08T11:49:24 100% | 3950 mV | 9 mA | 925 / 927 mAh | 36 mW | 94%
2024-11-08T11:49:55 100% | 3950 mV | 9 mA | 925 / 927 mAh | 36 mW | 94%
2024-11-08T11:50:25 100% | 3948 mV | 9 mA | 925 / 927 mAh | 36 mW | 94%
2024-11-08T11:50:56 100% | 3949 mV | 9 mA | 925 / 927 mAh | 36 mW | 94%
2024-11-08T11:51:27 100% | 3948 mV | 9 mA | 925 / 927 mAh | 36 mW | 94%
2024-11-08T11:51:57 100% | 3947 mV | 9 mA | 925 / 927 mAh | 36 mW | 94%
2024-11-08T11:52:28 100% | 3946 mV | 8 mA | 925 / 927 mAh | 32 mW | 94%
2024-11-08T11:52:58 100% | 3944 mV | 9 mA | 925 / 927 mAh | 35 mW | 94%
2024-11-08T11:53:29 100% | 3941 mV | 9 mA | 925 / 927 mAh | 35 mW | 94%
2024-11-08T11:54:00 100% | 3939 mV | 10 mA | 925 / 927 mAh | 39 mW | 94%
2024-11-08T11:54:30 100% | 3938 mV | 10 mA | 925 / 927 mAh | 39 mW | 94%
2024-11-08T11:55:01 100% | 3937 mV | 10 mA | 925 / 927 mAh | 39 mW | 94%
2024-11-08T11:55:32 100% | 3936 mV | 10 mA | 925 / 927 mAh | 39 mW | 94%
2024-11-08T11:56:02 100% | 3935 mV | 10 mA | 926 / 927 mAh | 39 mW | 94%
2024-11-08T11:56:33 100% | 3934 mV | 10 mA | 926 / 927 mAh | 39 mW | 94%
2024-11-08T11:57:03 100% | 3934 mV | 10 mA | 926 / 927 mAh | 39 mW | 94%
2024-11-08T11:57:34 100% | 3932 mV | 10 mA | 926 / 927 mAh | 39 mW | 94%
2024-11-08T11:58:05 100% | 3932 mV | 10 mA | 926 / 927 mAh | 39 mW | 94%
2024-11-08T11:58:35 100% | 3931 mV | 10 mA | 926 / 927 mAh | 39 mW | 94%
2024-11-08T11:59:06 100% | 3930 mV | 10 mA | 926 / 927 mAh | 39 mW | 94%
2024-11-08T11:59:37 100% | 3928 mV | 10 mA | 926 / 927 mAh | 39 mW | 94%
2024-11-08T12:00:07 100% | 3928 mV | 10 mA | 926 / 927 mAh | 39 mW | 94%
2024-11-08T12:00:38 100% | 3926 mV | 10 mA | 926 / 927 mAh | 39 mW | 94%
2024-11-08T12:01:08 100% | 3925 mV | 10 mA | 926 / 927 mAh | 39 mW | 94%
2024-11-08T12:01:39 100% | 3925 mV | 10 mA | 926 / 927 mAh | 39 mW | 94%
2024-11-08T12:02:10 100% | 3924 mV | 10 mA | 926 / 927 mAh | 39 mW | 94%
2024-11-08T12:02:40 100% | 3923 mV | 10 mA | 927 / 927 mAh | 39 mW | 94%
2024-11-08T12:03:11 100% | 3922 mV | 10 mA | 927 / 927 mAh | 39 mW | 94%
2024-11-08T12:03:42 100% | 3921 mV | 10 mA | 927 / 927 mAh | 39 mW | 94%
2024-11-08T12:04:12 100% | 3920 mV | 10 mA | 927 / 927 mAh | 39 mW | 94%
2024-11-08T12:04:43 100% | 3919 mV | 10 mA | 927 / 927 mAh | 39 mW | 94%
2024-11-08T12:05:13 100% | 3919 mV | 10 mA | 927 / 927 mAh | 39 mW | 94%
2024-11-08T12:05:44 100% | 3917 mV | 10 mA | 927 / 927 mAh | 39 mW | 94%
2024-11-08T12:06:15 100% | 3917 mV | 10 mA | 927 / 927 mAh | 39 mW | 94%
2024-11-08T12:06:45 100% | 3915 mV | 10 mA | 927 / 927 mAh | 39 mW | 94%
2024-11-08T12:07:16 100% | 3914 mV | 10 mA | 927 / 927 mAh | 39 mW | 94%
2024-11-08T12:07:47 100% | 3913 mV | 10 mA | 927 / 927 mAh | 39 mW | 94%
2024-11-08T12:08:17 100% | 3913 mV | 10 mA | 927 / 927 mAh | 39 mW | 94%
2024-11-08T12:08:48 100% | 3914 mV | 9 mA | 928 / 928 mAh | 35 mW | 94%
2024-11-08T12:09:18 100% | 3911 mV | 10 mA | 928 / 928 mAh | 39 mW | 94%
2024-11-08T12:09:49 100% | 3910 mV | 10 mA | 928 / 928 mAh | 39 mW | 94%
2024-11-08T12:10:20 100% | 3910 mV | 10 mA | 928 / 928 mAh | 39 mW | 94%
2024-11-08T12:10:50 100% | 3908 mV | 10 mA | 928 / 928 mAh | 39 mW | 94%
2024-11-08T12:11:21 100% | 3907 mV | 10 mA | 928 / 928 mAh | 39 mW | 94%
2024-11-08T12:11:52 100% | 3907 mV | 10 mA | 928 / 928 mAh | 39 mW | 94%
2024-11-08T12:12:22 100% | 3906 mV | 10 mA | 928 / 928 mAh | 39 mW | 94%
2024-11-08T12:12:53 100% | 3905 mV | 10 mA | 928 / 928 mAh | 39 mW | 94%
2024-11-08T12:13:23 100% | 3907 mV | 10 mA | 928 / 928 mAh | 39 mW | 94%
2024-11-08T12:13:54 100% | 3903 mV | 10 mA | 928 / 928 mAh | 39 mW | 94%
2024-11-08T12:14:25 100% | 3902 mV | 10 mA | 928 / 928 mAh | 39 mW | 94%
2024-11-08T12:14:55 100% | 3901 mV | 10 mA | 929 / 929 mAh | 39 mW | 94%
2024-11-08T12:15:26 100% | 3900 mV | 10 mA | 929 / 929 mAh | 39 mW | 94%
2024-11-08T12:15:57 100% | 3900 mV | 10 mA | 929 / 929 mAh | 39 mW | 94%
2024-11-08T12:16:27 100% | 3898 mV | 10 mA | 929 / 929 mAh | 39 mW | 94%
2024-11-08T12:16:58 100% | 3898 mV | 10 mA | 929 / 929 mAh | 39 mW | 94%
2024-11-08T12:17:28 100% | 3897 mV | 10 mA | 929 / 929 mAh | 39 mW | 94%
2024-11-08T12:17:59 100% | 3897 mV | 10 mA | 929 / 929 mAh | 39 mW | 94%
2024-11-08T12:18:30 100% | 3895 mV | 10 mA | 929 / 929 mAh | 39 mW | 94%
2024-11-08T12:19:00 100% | 3895 mV | 10 mA | 929 / 929 mAh | 39 mW | 94%
2024-11-08T12:19:31 100% | 3894 mV | 10 mA | 929 / 929 mAh | 39 mW | 94%
2024-11-08T12:20:02 100% | 3893 mV | 10 mA | 929 / 929 mAh | 39 mW | 94%
2024-11-08T12:20:32 100% | 3892 mV | 10 mA | 929 / 929 mAh | 39 mW | 94%
2024-11-08T12:21:03 100% | 3891 mV | 10 mA | 929 / 929 mAh | 39 mW | 94%
2024-11-08T12:21:33 100% | 3891 mV | 10 mA | 930 / 930 mAh | 39 mW | 94%
2024-11-08T12:22:04 100% | 3890 mV | 10 mA | 930 / 930 mAh | 39 mW | 94%
2024-11-08T12:22:35 100% | 3889 mV | 10 mA | 930 / 930 mAh | 39 mW | 94%
2024-11-08T12:23:05 100% | 3888 mV | 10 mA | 930 / 930 mAh | 39 mW | 94%
2024-11-08T12:23:36 100% | 3887 mV | 10 mA | 930 / 930 mAh | 39 mW | 94%
2024-11-08T12:24:07 100% | 3887 mV | 10 mA | 930 / 930 mAh | 39 mW | 94%
2024-11-08T12:24:37 100% | 3886 mV | 10 mA | 930 / 930 mAh | 39 mW | 94%
2024-11-08T12:25:08 100% | 3885 mV | 10 mA | 930 / 930 mAh | 39 mW | 94%
2024-11-08T12:25:38 100% | 3884 mV | 10 mA | 930 / 930 mAh | 39 mW | 94%
2024-11-08T12:26:09 100% | 3884 mV | 10 mA | 930 / 930 mAh | 39 mW | 94%
2024-11-08T12:26:40 100% | 3883 mV | 10 mA | 930 / 930 mAh | 39 mW | 94%
2024-11-08T12:27:10 100% | 3882 mV | 10 mA | 930 / 930 mAh | 39 mW | 94%
2024-11-08T12:27:41 100% | 3881 mV | 10 mA | 931 / 931 mAh | 39 mW | 94%
2024-11-08T12:28:12 100% | 3880 mV | 10 mA | 931 / 931 mAh | 39 mW | 94%
2024-11-08T12:28:42 100% | 3880 mV | 10 mA | 931 / 931 mAh | 39 mW | 94%
2024-11-08T12:29:13 100% | 3879 mV | 10 mA | 931 / 931 mAh | 39 mW | 94%
2024-11-08T12:29:43 100% | 3878 mV | 10 mA | 931 / 931 mAh | 39 mW | 94%
2024-11-08T12:30:14 100% | 3877 mV | 10 mA | 931 / 931 mAh | 39 mW | 94%
2024-11-08T12:30:45 100% | 3877 mV | 10 mA | 931 / 931 mAh | 39 mW | 94%
2024-11-08T12:31:15 100% | 3876 mV | 10 mA | 931 / 931 mAh | 39 mW | 94%
2024-11-08T12:31:46 100% | 3875 mV | 10 mA | 931 / 931 mAh | 39 mW | 94%
2024-11-08T12:32:17 100% | 3875 mV | 10 mA | 931 / 931 mAh | 39 mW | 94%
2024-11-08T12:32:47 100% | 3874 mV | 10 mA | 931 / 931 mAh | 39 mW | 94%
2024-11-08T12:33:18 100% | 3873 mV | 10 mA | 931 / 931 mAh | 39 mW | 94%
2024-11-08T12:33:48 100% | 3872 mV | 10 mA | 932 / 932 mAh | 39 mW | 94%
2024-11-08T12:34:19 100% | 3872 mV | 10 mA | 932 / 932 mAh | 39 mW | 94%
2024-11-08T12:34:50 100% | 3871 mV | 10 mA | 932 / 932 mAh | 39 mW | 94%
2024-11-08T12:35:20 100% | 3870 mV | 10 mA | 932 / 932 mAh | 39 mW | 94%
2024-11-08T12:35:51 100% | 3869 mV | 10 mA | 932 / 932 mAh | 39 mW | 94%
2024-11-08T12:36:22 100% | 3869 mV | 10 mA | 932 / 932 mAh | 39 mW | 94%
2024-11-08T12:36:52 100% | 3868 mV | 10 mA | 932 / 932 mAh | 39 mW | 94%
2024-11-08T12:37:23 100% | 3867 mV | 10 mA | 932 / 932 mAh | 39 mW | 94%
